id,prov,city,dist,loc,priceWan,area,rent,updated
333,上海,上海市,浦东新区,汤臣一品,12000,400,100000,2026-06
334,上海,上海市,黄浦区,翠湖天地六和,11090,528,92417,2026-06
335,上海,上海市,黄浦区,上海壹号院,6497,365,54142,2026-06
336,上海,上海市,黄浦区,高福云境,8085,385,67375,2026-06
337,上海,上海市,黄浦区,中海顺昌玖里,6800,400,56667,2026-06
338,上海,上海市,闵行区,古北壹号,11500,485,95833,2026-06
339,广东,广州市,天河区,鹏瑞1号,20000,750,166667,2026-06
340,广东,广州市,天河区,侨鑫汇悦台,11163,366,93025,2026-06
341,广东,广州市,天河区,合景臻溋名铸,8750,350,72917,2026-06
342,广东,广州市,天河区,珠江颐德公馆,7500,300,62500,2026-06
343,广东,深圳市,南山区,深圳湾1号,9800,350,81667,2026-06
344,广东,深圳市,南山区,中信城开信悦湾,7373,302,61442,2026-06
345,广东,深圳市,南山区,深圳湾沄玺,13000,500,108333,2026-06
346,广东,深圳市,南山区,恒裕滨城二期,6000,200,50000,2026-06
