id,prov,city,dist,loc,priceWan,area,rent,updated
,宁夏,石嘴山市,惠农区,木器厂家属院,21.8,67.8,400,2026-06
,宁夏,石嘴山市,大武口区,憩园（大武口）,19.5,70,350,2026-06
,山西,朔州市,朔城区,水乡湾小区,14.8,65,300,2026-06
,山西,朔州市,朔城区,雅苑北区,16,93,350,2026-06
,山西,晋中市-介休市,介休城区,福馨园,20,88,400,2026-06
,新疆,博尔塔拉州-博乐市,博乐市,大成福邸,20,70,300,2026-06
,新疆,伊犁州-伊宁市,伊宁市开发区,康宁佳苑,48,98,550,2026-06
,湖南,衡阳市-耒阳市,耒阳城区,铁五局家属房,19.7,48,400,2026-06
,湖南,衡阳市-耒阳市,耒阳城区,天市场附近老住宅,12.8,50,300,2026-06
,湖南,娄底市-冷水江市,冷水江城区,桃园小区,24.8,105,450,2026-06
,湖南,娄底市-冷水江市,冷水江城区,金水湾花园,36.8,105,450,2026-06
,江西,萍乡市,安源区,电信综合楼,22.8,109.7,450,2026-06
,江西,景德镇市,珠山区,和谐家园,20,50,400,2026-06
,江西,景德镇市,珠山区,蝶恋园小区,23,33,350,2026-06
,陕西,铜川市,印台区,印台老街住宅,22,104.55,350,2026-06
,陕西,铜川市,耀州区,梅乐园两室,26,93,400,2026-06
,陕西,汉中市,汉台区,桃源新城,33,98,500,2026-06
,陕西,汉中市,南郑区,香城壹号,40,123,550,2026-06
,广东,韶关市,浈江区,碧桂园凤凰山（韶关）,29.8,70,500,2026-06
,广东,河源市,源城区,客天下（河源）,25,53,450,2026-06
,广东,梅州市,梅江区,奥园梅江天韵,18.8,49.5,450,2026-06
,甘肃,酒泉市,玉门市,玉门老城旧住宅（按套计价·非按㎡）,3,50,150,2026-06
,辽宁,丹东市,元宝区,名苑小区,11,50,280,2026-06
,云南,德宏州-瑞丽市,瑞丽市,勐卯镇老旧小区,70,168,500,2026-06
,广西,梧州市,万秀区,步埠社区,14.5,65,350,2026-06
,广西,贺州市,八步区,芳林路住宅,12.6,122,300,2026-06
,辽宁,抚顺市,李石开发区,绿地剑桥二期,16.8,86,350,2026-06
,山东,枣庄市,市中区,人和天地,42.8,74,500,2026-06
,河南,焦作市,解放区,建业小区,28,90,450,2026-06
,甘肃,白银市,白银城区,天凯家园,42,120,500,2026-06
,山西,吕梁市-孝义市,孝义城区,崇德苑（孝义）,67,152,600,2026-06
,湖南,娄底市-涟源市,涟源市区,东方建材市场,28,120,400,2026-06
,河南,三门峡市-灵宝市,灵宝市区,虢园新居,49.8,94.45,500,2026-06
,广西,来宾市-合山市,合山城区,合山市公安小区,13,70.8,280,2026-06
