id,prov,city,dist,loc,priceWan,area,rent,updated
,北京,北京市,西城区,校场口胡同,185,15,5700,2026-06
,黑龙江,齐齐哈尔市,建华区,鑫海家园,79.5,105,4175,2026-06
,广东,茂名市,电白区,保利奥体大都汇,49,97.6,2000,2026-06
,广东,茂名市,电白区,电白碧桂园,48.8,98.18,2258,2026-06
,广东,茂名市,电白区,恒大御湖城,38,92.89,1200,2026-06
,广东,肇庆市,四会市,恒大绿洲,33,92,1306,2026-06
,广东,清远市,清城区,恒大银湖城,28,80,1000,2026-06
,广东,惠州市,惠东县,碧桂园十里银滩海云天,25,86,2000,2026-06
,福建,泉州市,晋江市,保利中航城天骏,18.2,34,800,2026-06
,福建,泉州市,南安市,南安碧桂园,32,101.32,1400,2026-06
,福建,泉州市,泉港区,恒大雅苑,55,91.92,1800,2026-06
,福建,泉州市,鲤城区,万科悦城,65,62.85,1300,2026-06
,浙江,宁波市,奉化区,恒大御海天下,32,60.5,1000,2026-06
,江苏,苏州市,姑苏区,莲花新村(一期),67,47,2200,2026-06
,江苏,镇江市-句容市,宝华,紫东恒大文化旅游城,109,77,1500,2026-06
,江苏,镇江市-句容市,宝华镇,恒大雅苑,54,85,1200,2026-06
,安徽,滁州市,来安县,碧桂园城市花园,24.9,82,787,2026-06
,湖北,鄂州市,华容区,恒大金碧天下,18.9,49.3,675,2026-06
,云南,昆明市-安宁市,太平新城,恒大金碧天下,32,79.6,900,2026-06
