id,prov,city,dist,loc,priceWan,area,rent,updated
,广东,惠州市,惠东县,碧桂园十里银滩海悦湾,25,154,,2024-03
,天津,天津市,武清区,首创新北京半岛,39,83,,2024-07
,海南,儋州市,排浦镇,恒大海花岛,27,39,1800,2025-01
,山东,威海市,乳山市,海之缘花苑,7.3,70,,2024-11
,江苏,镇江市,句容市,碧桂园大学印象,56,88,,2024-06
,山东,青岛市,黄岛区,融创维多利亚湾,60,118,,2024-04
,江苏,南京市,鼓楼区,世茂滨江新城,275,110,,2025-05
,河北,廊坊市,三河市,首尔甜城,133,76,,2024-06
,江苏,镇江市,句容市,碧桂园凤凰城凤仪苑,40,94,,2026-06
,广东,广州市,增城区,碧桂园凤凰城凤馨苑,85,85,,2025-06
,湖北,宜昌市,点军区,碧桂园伯爵,50,110,,2026-05
,浙江,杭州市,余杭区,阳光城未来悦,350,89,,2023-06
,广东,广州市,增城区,奥园中新誉府,79,90,,2024-04
,河北,廊坊市,三河市,天洋城,56,40,,2021-03
,江苏,南通市,启东市,恒大海上威尼斯,36,73,1000,2024-06
,湖北,宜昌市,伍家岗区,碧桂园凤凰城,71,95,,2026-05
,广东,广州市,南沙区,南沙奥园,95,100,,2024-06
,广东,惠州市,惠东县,富力湾,19,47,,2025-06
